name,type,$kuid,$qpath,col_name,$autoname,label,required,appearance,select_from_list_name,relevant,hint
tensing_achtenaufandere,select_one,LMGhMcl57,group_aa5ex58-group_ze8px94-tensing_achtenaufandere,group_aa5ex58/group_ze8px94/tensing_achtenaufandere,tensing_achtenaufandere,"Bei TEN SING gilt auf einer Skala zwischen ""Man achtet aufeinander"" und ""Jede:r schaut auf sich:""",FALSE,likert,ua93t27,NA,
tensing_ausprobieren,select_one,1pkpLTY1F,group_aa5ex58-group_ze8px94-tensing_ausprobieren,group_aa5ex58/group_ze8px94/tensing_ausprobieren,tensing_ausprobieren,"Bei TEN SING gilt auf einer Skala von ""Man kann sich ausprobieren"" bis ""Man macht immer das Gleiche"":",FALSE,likert,qk9rg27,NA,
NA,end_group,/nCeh6vkDe,NA,NA,NA,NA,NA,NA,NA,NA,
NA,end_group,/cL0QCQ3af,NA,NA,NA,NA,NA,NA,NA,NA,
group_jk5eo25,begin_group,rwTmwmIXs,group_jk5eo25,group_jk5eo25,group_jk5eo25,Dein Weg zu TEN SING,FALSE,NA,NA,NA,
zugangsweg_ten_sing,select_multiple,lu7ag68,group_jk5eo25-zugangsweg_ten_sing,group_jk5eo25/zugangsweg_ten_sing,zugangsweg_ten_sing,Wie bist du zu TEN SING gekommen?,FALSE,NA,tl1ba82,NA,
zugangsweg_tensing_sonst,text,5p73gYBeq,group_jk5eo25-zugangsweg_tensing_sonst,group_jk5eo25/zugangsweg_tensing_sonst,zugangsweg_tensing_sonst,Sonstiges:,FALSE,NA,NA,"selected(${zugangsweg_ten_sing}, 'sonstiges')",
NA,end_group,/rwTmwmIXs,NA,NA,NA,NA,NA,NA,NA,NA,
group_bc7fc89,begin_group,jrKO6KZnU,group_bc7fc89,group_bc7fc89,group_bc7fc89,Nachfolgend findest du einige Aussagen zu TEN SING. Bitte bewerte diese auf der Skala:,FALSE,NA,NA,NA,
aussagen_tensing,begin_group,zLFxRILjh,group_bc7fc89-aussagen_tensing,group_bc7fc89/aussagen_tensing,aussagen_tensing,,FALSE,field-list,NA,NA,
aussagen_tensing_header,select_one,Nau4PgXwD,group_bc7fc89-aussagen_tensing-aussagen_tensing_header,group_bc7fc89/aussagen_tensing/aussagen_tensing_header,aussagen_tensing_header,Bei TEN SING...,FALSE,label,ql4ex71,NA,
entfaltung_kreativitae,select_one,J3HW9s6dU,group_bc7fc89-aussagen_tensing-entfaltung_kreativitae,group_bc7fc89/aussagen_tensing/entfaltung_kreativitae,entfaltung_kreativitae,Bei TEN SING kann ich meine Kreativität voll und ganz entfalten.,FALSE,list-nolabel,ql4ex71,NA,
selbst_sein,select_one,X2Sw1VFei,group_bc7fc89-aussagen_tensing-selbst_sein,group_bc7fc89/aussagen_tensing/selbst_sein,selbst_sein,Bei TEN SING kann ich so sein wie ich möchte.,FALSE,list-nolabel,ql4ex71,NA,
neues_lernen,select_one,L96PNR2Gv,group_bc7fc89-aussagen_tensing-neues_lernen,group_bc7fc89/aussagen_tensing/neues_lernen,neues_lernen,Bei TEN SING kann ich neue Dinge lernen.,FALSE,list-nolabel,ql4ex71,NA,
fehlerkultur,select_one,FiGxNTfEE,group_bc7fc89-aussagen_tensing-fehlerkultur,group_bc7fc89/aussagen_tensing/fehlerkultur,fehlerkultur,"Wenn mir bei TEN SING mal ein Fehler passiert, ist das überhaupt nicht schlimm.",FALSE,list-nolabel,ql4ex71,NA,
ideeneinbringen,select_one,pZnpEbysp,group_bc7fc89-aussagen_tensing-ideeneinbringen,group_bc7fc89/aussagen_tensing/ideeneinbringen,ideeneinbringen,Ich kann bei TEN SING meine eigenen Ideen einbringen.,FALSE,list-nolabel,ql4ex71,NA,
eigene_entwicklung,select_one,gl7ZVOBsm,group_bc7fc89-aussagen_tensing-eigene_entwicklung,group_bc7fc89/aussagen_tensing/eigene_entwicklung,eigene_entwicklung,"Ich habe das Gefühl, dass ich mich, seitdem ich bei TEN SING bin, weiterentwickelt habe.",FALSE,list-nolabel,ql4ex71,NA,
gute_entscheidung,select_one,VpFVoUHwN,group_bc7fc89-aussagen_tensing-gute_entscheidung,group_bc7fc89/aussagen_tensing/gute_entscheidung,gute_entscheidung,Es war eine gute Entscheidung in die TEN SING Gruppe zu gehen.,FALSE,list-nolabel,ql4ex71,NA,
dinge_zutrauen,select_one,sXbtrGPpW,group_bc7fc89-aussagen_tensing-dinge_zutrauen,group_bc7fc89/aussagen_tensing/dinge_zutrauen,dinge_zutrauen,"Ich traue mir bei TEN SING Sachen zu, die ich mich davor nicht getraut habe.",FALSE,list-nolabel,ql4ex71,NA,
selbstbewusstsein,select_one,ccrSUyxSe,group_bc7fc89-aussagen_tensing-selbstbewusstsein,group_bc7fc89/aussagen_tensing/selbstbewusstsein,selbstbewusstsein,"Ich merke, dass ich selbstbewusster bin, seitdem ich bei TEN SING bin.",FALSE,list-nolabel,ql4ex71,NA,
transfer,select_one,ASmMSMNAY,group_bc7fc89-aussagen_tensing-transfer,group_bc7fc89/aussagen_tensing/transfer,transfer,"Dinge, die ich bei TEN SING gelernt habe, kann ich auch woanders einsetzten (z. B. Schule, in der Arbeit).",FALSE,list-nolabel,ql4ex71,NA,
internationale_projekt,select_one,f2n1NL0Wp,group_bc7fc89-aussagen_tensing-internationale_projekt,group_bc7fc89/aussagen_tensing/internationale_projekt,internationale_projekt,Ich habe Interesse an internationalen TEN SING Projekten.,FALSE,list-nolabel,ql4ex71,NA,
glaube_spiritualitaet,select_one,xEZbBloC9,group_bc7fc89-aussagen_tensing-glaube_spiritualitaet,group_bc7fc89/aussagen_tensing/glaube_spiritualitaet,glaube_spiritualitaet,Bei TEN SING setzte ich mich mit meinem Glauben / Spiritualität auseinander.,FALSE,list-nolabel,ql4ex71,NA,
NA,end_group,/zLFxRILjh,NA,NA,NA,NA,NA,NA,NA,NA,
NA,end_group,/jrKO6KZnU,NA,NA,NA,NA,NA,NA,NA,NA,
group_er4yl50,begin_group,9m2v7bpoi,group_er4yl50,group_er4yl50,group_er4yl50,Angebote vor Ort,FALSE,NA,NA,NA,
