name,type,$kuid,col_name,$autoname,label,$qpath,required,select_from_list_name,relevant,hint,_isRepeat,appearance,kobo--matrix_list,$given_name,choice_filter
tngewinnung_massnahmen,select_multiple,RtcMAc3yl,block_tngewinnung/tngewinnung_massnahmen,tngewinnung_massnahmen,"Welche Maßnahmen setzt ihr vor Ort ein, um neue Teilnehmende zu finden?",group_am7wr99-F9_TNGewinnung_Massnahmen,FALSE,sd1mv43,NA,,NA,NA,NA,NA,NA
tngewinnung_massnahmen_sonst,text,oj9kw18,block_tngewinnung/tngewinnung_massnahmen_sonst,tngewinnung_massnahmen_sonst,Sonstige,group_am7wr99-F9_TNGewinnung_Massnahmen_sons,FALSE,NA,"selected(${tngewinnung_massnahmen}, 'sonstige')",,NA,NA,NA,NA,NA
NA,end_group,/zs7zi69,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
block_erfolg_tngewinnung,begin_group,jdFfiihPk,block_erfolg_tngewinnung,block_erfolg_tngewinnung,,F10_Erfolg_TNGewinnungMassnahm,FALSE,NA,NA,,NA,field-list,NA,NA,NA
tngewinnung_erfolg_header,select_one,PNkwcaC6V,block_erfolg_tngewinnung/tngewinnung_erfolg_header,tngewinnung_erfolg_header,Wie erfolgreich sind eure Maßnahmen zu Gewinnung von neuen Teilnehmenden?,F10_Erfolg_TNGewinnungMassnahm-F10_Erfolg_TNGewinnungMassnahm_header,FALSE,dq4ul86,NA,,NA,label,NA,NA,NA
insgesamt,select_one,vGWFBw0gE,block_erfolg_tngewinnung/insgesamt,insgesamt,Insgesamt,F10_Erfolg_TNGewinnungMassnahm-insgesamt,FALSE,dq4ul86,NA,,NA,list-nolabel,NA,NA,NA
werbung_auftritte,select_one,ZHfEi9qdx,block_erfolg_tngewinnung/werbung_auftritte,werbung_auftritte,Werbung bei unseren Veranstaltungen und Vorführungen,F10_Erfolg_TNGewinnungMassnahm-werbung_auftritte,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'werbung_auftritte')",,NA,list-nolabel,NA,NA,NA
werbung_kirche,select_one,vGWFBw0gE,block_erfolg_tngewinnung/werbung_kirche,werbung_kirche,Werbung bei Veranstaltungen der Kirchengemeinde,F10_Erfolg_TNGewinnungMassnahm-werbung_kirche,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'werbung_kirche')",,NA,list-nolabel,NA,NA,NA
schulprojekte,select_one,tt4ls7DwJ,block_erfolg_tngewinnung/schulprojekte,schulprojekte,Schulprojekte (z. B. Projektwochen),F10_Erfolg_TNGewinnungMassnahm-schulprojekte,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'schulprojekte')",,NA,list-nolabel,NA,NA,NA
schnupperproben,select_one,cKxQgbRgs,block_erfolg_tngewinnung/schnupperproben,schnupperproben,Schnupperproben,F10_Erfolg_TNGewinnungMassnahm-schnupperproben,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'schnupperproben')",,NA,list-nolabel,NA,NA,NA
social_media,select_one,SWbu0rQvv,block_erfolg_tngewinnung/social_media,social_media,Werbung auf Social Media,F10_Erfolg_TNGewinnungMassnahm-social_media,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'social_media')",,NA,list-nolabel,NA,NA,NA
freunde_und_bekannte_ansprechen,select_one,nMHzjrltb,block_erfolg_tngewinnung/freunde_und_bekannte_ansprechen,freunde_und_bekannte_ansprechen,Freunde und Bekannte ansprechen,F10_Erfolg_TNGewinnungMassnahm-freunde_und_bekannte_ansprechen,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'freunde_und_bekannte')",,NA,list-nolabel,NA,NA,NA
sonstige,select_one,DGNu9hAAh,block_erfolg_tngewinnung/sonstige,sonstige,Sonstige,F10_Erfolg_TNGewinnungMassnahm-sonstige,FALSE,dq4ul86,"selected(${tngewinnung_massnahmen}, 'sonstige')",,NA,list-nolabel,NA,NA,NA
NA,end_group,/jdFfiihPk,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
unterstuetzungsbedarfe,begin_group,oXMOtvp8d,unterstuetzungsbedarfe,unterstuetzungsbedarfe,Bei welchen Themen würdet ihr gern Unterstützung oder Begleitung nutzen?,F11_Unterstuetzungsbedarfe,FALSE,NA,NA,,NA,field-list,NA,NA,NA
